	cities	cloud	country	humidity	lat	long	max temp	temp	wind
0	Ishigaki	92	JP	100	24.34	124.16	295.055	295.055	4.1
1	Biasca	0	CH	31	46.36	8.97	283.15	283.15	1.0
2	Kontagora	0	NG	31	10.4	5.47	300.855	300.855	3.1
3	Urucui	56	BR	70	-7.23	-44.56	301.205	301.205	2.55
4	Muros	0	ES	62	42.77	-9.06	286.15	286.15	6.2
5	Horn Lake	75	US	72	34.96	-90.03	292.15	290.55	5.1
6	Lithakia	40	GR	58	37.72	20.83	287.15	287.15	3.1
7	Padang	44	ID	100	-0.92	100.36	300.255	300.255	3.15
8	Faya	5	SA	37	18.39	42.45	292.15	292.15	4.6
9	Henties Bay	0	NA	96	-22.12	14.28	291.38	291.38	2.05
10	Kodinsk	0	RU	53	58.6	99.18	261.08	261.08	2.75
11	Darhan	24	MN	52	49.49	105.92	261.755	261.755	2.4
12	Kassala	0	SD	41	15.45	36.38	295.13	295.13	1.25
13	Bonavista	20	CA	74	48.65	-53.11	276.38	276.38	8.0
14	Freeport	40	BS	73	26.54	-78.7	298.15	298.15	2.1
15	Bad Salzungen	0	DE	96	50.81	10.23	275.15	275.15	5.1
16	Torbay	75	CA	47	47.66	-52.73	276.15	276.15	10.3
17	Malinyi	88	TZ	99	-8.94	36.14	295.13	295.13	0.85
18	Le Moule	75	GP	69	16.33	-61.35	300.15	300.15	3.1
19	Mandalgovi	92	MN	73	45.76	106.27	272.98	272.98	7.4
20	Luderitz	0	NA	93	-26.65	15.16	290.15	290.15	5.1
21	Aksu	0	KZ	92	52.04	76.93	268.15	268.15	3.0
22	Karcag	0	HU	93	47.31	20.92	283.15	280.66	3.6
23	Santa Marta	75	CO	70	11.24	-74.21	304.15	304.15	3.1
24	Jamestown	0	AU	91	-33.21	138.6	280.98	280.98	2.4
25	Boa Vista	40	BR	28	2.82	-60.67	309.15	309.15	4.1
26	Havelock	1	US	27	34.88	-76.9	298.15	296.35	3.1
27	Hovd	40	NO	99	63.83	10.7	273.15	272.63	2.1
28	Ulaanbaatar	75	MN	56	47.92	106.92	264.15	264.15	4.0
29	Zhangye	0	CN	58	38.94	100.46	276.555	276.555	1.6
30	Miri	8	NG	37	10.31	9.75	297.105	297.105	2.65
31	Qianguo	8	CN	44	45.12	124.86	287.755	287.755	6.25
32	Agadez	32	NE	16	16.97	7.99	295.455	295.455	3.0
33	Hays	75	US	63	38.88	-99.33	274.15	272.93	5.7
34	Santa Flavia	92	CL	96	-51.55	-72.35	283.655	283.655	4.05
35	Milford	75	US	74	40.77	-97.05	273.15	271.16	2.05
36	Novara	0	IT	23	45.45	8.62	287.15	285.13	4.6
37	Kathu	24	ZA	79	-27.7	23.05	292.58	292.58	2.4
38	Arshan	0	YE	57	14.32	46.95	287.905	287.905	1.9
39	Funtua	0	NG	29	11.52	7.31	298.405	298.405	3.65
40	Cambridge	90	GB	100	52.2	0.12	278.15	277.73	2.45
41	Vetrisoaia	44	RO	61	46.43	28.21	283.13	283.13	4.3
42	Dymer	20	UA	76	50.78	30.31	284.15	283.5	10.0
43	Kulykiv	75	UA	99	49.98	24.08	274.15	274.15	8.0
44	Jinxiang	0	CN	90	35.07	116.31	287.505	287.505	3.8
45	Kavieng	24	PG	100	-2.57	150.8	302.405	302.405	5.25
46	Kovin	0	RS	81	44.74	20.98	281.15	280.48	1.5
47	Alepe	40	CI	79	5.5	-3.66	302.15	302.15	4.1
48	Slatina	44	HR	99	45.7	17.7	279.23	279.23	1.8
49	Taldan	24	RU	52	53.69	124.82	270.63	270.63	6.55
50	Ayan	48	TR	61	40.67	33.6	282.405	282.405	2.05
51	Hirara	32	JP	100	24.8	125.28	295.13	295.13	4.8
52	Valley Station	1	US	22	33.35	-86.77	299.15	299.15	3.6
53	Klyuchi	0	RU	77	52.25	79.17	260.805	260.805	1.45
54	Marawi	0	PH	95	8.0	124.29	289.755	289.755	1.05
55	Harsesti	0	RO	60	44.53	24.78	281.405	281.405	8.2
56	Misratah	24	LY	95	32.38	15.09	287.555	287.555	4.0
57	Korce	0	CZ	60	50.54	14.6	278.15	277.64	6.2
58	Hamilton	75	CA	47	43.26	-79.87	276.15	275.16	7.7
59	Great Bend	90	US	74	38.36	-98.78	272.15	271.88	6.7
60	Bopfingen	90	DE	100	48.86	10.35	279.15	277.55	4.1
61	Sudzha	80	RU	85	51.19	35.27	276.58	276.58	8.8
62	Bilari	0	IN	75	28.62	78.8	292.555	292.555	1.2
63	Alim	12	NG	68	7.18	7.33	300.755	300.755	5.65
64	Strezhevoy	0	RU	61	60.73	77.6	262.15	262.15	6.0
65	Ixtapa	5	MX	69	20.71	-105.21	300.15	300.15	5.1
66	Biu	0	NG	25	10.61	12.19	301.88	301.88	3.9
67	Chiscani	44	RO	87	45.18	27.93	283.15	283.15	5.1
68	San Jose	92	PH	100	15.79	120.99	294.155	294.155	0.7
69	Beipiao	0	CN	53	41.8	120.76	288.705	288.705	5.65
70	Dutse	0	NG	32	11.76	9.34	298.505	298.505	3.25
71	Wawa	0	NG	65	9.9	4.41	300.08	300.08	1.15
72	Chatham	75	CA	38	42.41	-82.19	278.15	276.97	7.2
73	Naron	0	ES	51	43.52	-8.15	288.15	288.15	4.1
74	Benxi	75	CN	66	41.29	123.76	286.15	286.15	3.0
75	Jalu	24	LY	29	29.03	21.55	291.155	291.155	1.85
76	Aboyne	20	GB	74	57.08	-2.78	276.15	276.15	5.1
77	Kamina	76	CD	91	-8.74	25.0	294.38	294.38	1.15
78	Harbin	0	CN	58	45.77	126.62	287.15	287.15	8.0
79	Zhuanghe	88	CN	93	39.7	122.97	278.255	278.255	4.45
80	Perama	40	GR	100	39.69	20.85	279.15	279.15	0.85
81	Cullera	0	ES	67	39.16	-0.25	287.15	287.15	3.1
82	Mahon	75	IE	93	51.89	-8.4	276.15	276.15	11.8
83	Smiths Falls	75	CA	32	44.9	-76.02	276.15	276.15	8.2
84	Ribeira Grande	75	PT	77	38.52	-28.7	290.15	290.15	10.3
85	Gat	0	SN	31	14.69	-16.54	299.255	299.255	5.85
86	Zonguldak	88	TR	70	41.25	31.83	284.63	284.63	0.85
87	Alcains	88	PT	74	39.92	-7.46	283.405	283.405	2.2
88	Lamu	64	ID	100	0.57	122.3	295.605	295.605	0.85
89	Axim	68	GH	99	4.87	-2.24	300.805	300.805	4.1
90	Shar	24	NG	62	7.3	8.73	302.38	302.38	6.5
91	Great Yarmouth	75	GB	93	52.61	1.73	277.15	277.15	1.0
92	Ugep	44	NG	94	5.81	8.08	297.505	297.505	3.3
93	Nicoya	0	CR	32	10.15	-85.45	308.15	308.15	5.1
94	Rantoul	90	US	74	40.31	-88.16	275.15	273.07	5.7
95	Gorom-Gorom	0	BF	22	14.45	-0.24	301.055	301.055	4.75
96	Rivers	5	CA	62	50.03	-100.23	267.15	267.15	8.7
97	Zhenlai	8	CN	45	45.84	123.2	284.205	284.205	4.8
98	Manadhoo	68	MV	100	5.77	73.38	301.83	301.83	2.95
99	Gardone Val Trompia	0	IT	30	45.69	10.18	286.15	285.19	3.6
100	Eisenberg	75	DE	74	50.97	11.9	276.15	275.64	4.6
101	Puerto Ayora	20	EC	69	-0.74	-90.35	301.15	301.15	6.2
102	Kidal	88	ML	23	18.44	1.41	298.455	298.455	3.1
103	Namwala	0	ZM	87	-15.75	26.45	293.105	293.105	4.8
104	Kiyevskoye	0	RU	50	45.04	37.89	287.15	287.15	6.0
105	San Policarpo	64	PH	100	12.18	125.51	297.855	297.855	3.5
106	Ayagoz	0	KZ	79	47.96	80.43	262.48	262.48	4.3
107	Skive	0	DK	79	56.57	9.03	271.15	271.15	2.1
108	Ubinskoye	0	RU	76	55.31	79.68	259.73	259.73	2.8
109	Gebre Guracha	92	ET	47	9.8	38.4	290.08	290.08	0.4
110	Castlerea	90	IE	69	53.77	-8.49	277.15	277.15	6.7
111	Shibetsu	0	JP	79	44.15	142.46	268.305	268.305	0.95
112	Keokuk	75	US	92	40.4	-91.39	271.15	269.66	3.1
113	Siocon	64	PH	100	11.03	124.04	299.73	299.73	3.75
114	Port Blair	80	IN	100	11.67	92.75	301.305	301.305	4.8
115	Zaysan	0	KZ	80	47.47	84.87	261.88	261.88	1.6
116	Zlitan	24	LY	93	32.47	14.57	285.63	285.63	2.75
117	Iberia	68	PE	79	-11.41	-69.49	300.455	300.455	1.35
118	Karlsruhe	40	DE	75	49.01	8.4	280.15	280.15	3.1
119	Pisco	0	PE	78	-13.71	-76.2	297.15	297.15	4.1
120	Sioux Lookout	90	CA	79	50.1	-91.92	269.15	267.87	4.1
121	Takoradi	56	GH	100	4.89	-1.75	300.155	300.155	3.65
122	Airai	0	TL	86	-8.93	125.41	291.48	291.48	0.4
123	Port Hawkesbury	90	CA	75	45.62	-61.36	280.15	280.15	9.3
124	Saint-Pierre	0	FR	86	48.95	4.24	277.15	277.15	3.6
125	Saint-Philippe	75	CA	43	45.36	-73.48	275.15	274.9	9.8
126	Quelimane	20	MZ	83	-17.88	36.89	299.15	299.15	1.5
127	Betsiamites	90	CA	64	48.94	-68.65	275.15	274.64	8.7
128	Rzhev	92	RU	94	56.26	34.33	276.105	276.105	9.15
129	Amazar	44	RU	47	53.86	120.88	265.58	265.58	4.55
130	Mongo	12	CF	70	4.83	22.92	299.555	299.555	1.35
131	Verkhnevilyuysk	0	RU	69	63.45	120.31	259.38	259.38	2.75
132	Saint George	20	GR	53	39.45	22.34	284.15	284.15	4.1
133	Qaqortoq	0	GL	28	60.72	-46.03	279.15	279.15	16.5
134	Gushikawa	1	JP	77	26.35	127.87	294.15	292.87	2.6
135	Salinopolis	80	BR	100	-0.61	-47.36	299.63	299.63	4.1
136	Lahij	0	YE	88	13.06	44.88	290.055	290.055	0.85
137	Yantai	8	CN	83	37.53	121.39	281.805	281.805	6.6
138	Atar	44	MR	23	20.52	-13.05	296.005	296.005	1.65
139	Bedford	88	GB	80	52.14	-0.47	280.15	278.19	2.1
140	Tinos	0	GR	77	37.54	25.16	289.15	288.83	4.1
141	Divnogorsk	40	RU	67	55.96	92.38	267.15	267.15	4.0
142	Sarh	0	TD	31	9.14	18.39	306.15	306.15	2.7
143	Yatou	75	CM	88	3.63	9.81	301.15	301.15	1.5
144	Alexandroupoli	40	GR	67	40.85	25.88	288.15	288.15	3.1
145	Chapleau	75	CA	67	47.85	-83.4	266.15	266.15	3.1
146	Iqaluit	90	CA	84	63.75	-68.52	257.15	257.15	16.5
147	Hami	88	CN	53	42.84	93.51	283.655	283.655	5.45
148	Georgetown	40	GY	55	6.8	-58.16	305.15	305.15	6.2
149	Kununurra	0	AU	94	-15.77	128.74	296.15	296.15	2.1
150	el Prat de Llobregat	0	ES	76	41.32	2.1	286.15	285.63	2.6
151	Aksehir	0	TR	56	38.36	31.42	282.455	282.455	3.15
152	Umm Kaddadah	0	SD	16	13.6	26.69	294.38	294.38	5.2
153	Sibenik	44	HR	99	45.81	17.18	279.23	279.23	1.8
154	Paralia	20	GR	47	40.27	22.6	287.15	287.15	5.7
155	Nenjiang	100	CN	57	49.17	125.23	280.23	280.23	7.55
156	Orel-Izumrud	0	RU	47	43.46	39.92	288.15	288.15	6.0
157	Porto Torres	0	IT	61	40.84	8.4	283.15	283.15	2.1
158	Namibe	0	AO	100	-15.19	12.15	299.705	299.705	5.35
159	Mahbubabad	0	IN	82	17.62	80.02	295.58	295.58	4.15
160	Pedernales	92	EC	87	0.07	-80.05	298.88	298.88	3.4
161	Ayame	20	CI	96	5.61	-3.16	298.83	298.83	2.95
162	Banganapalle	44	IN	89	15.32	78.23	293.955	293.955	2.65
163	Tigzirt	12	DZ	58	36.57	4.2	280.23	280.23	0.8
164	Nanortalik	0	GL	100	60.14	-45.24	274.505	274.505	18.5
165	Cherbourg	68	AU	94	-26.29	151.95	292.98	292.98	3.75
166	Vievis	90	LT	93	54.77	24.82	277.15	277.15	3.1
167	Traverse City	40	US	50	44.76	-85.62	271.15	270.55	5.7
168	Trat	8	TH	100	12.25	102.51	298.155	298.155	1.15
169	Belle Fourche	1	US	64	44.67	-103.85	276.15	275.23	2.6
170	Guiglo	8	CI	88	6.55	-7.5	298.63	298.63	2.2
171	Mitchell	1	US	40	43.71	-98.03	275.15	275.15	5.7
172	Spas-Demensk	68	RU	94	54.41	34.03	275.48	275.48	6.85
173	Mao	20	DO	48	19.55	-71.08	303.15	302.13	4.6
174	Riyadh	75	SA	31	24.63	46.72	296.15	296.15	2.1
175	Sabancuy	0	MX	99	18.97	-91.18	299.63	299.63	4.3
176	Qinggang	0	CN	95	28.25	121.28	287.33	287.33	1.7
177	Talakan	64	RU	65	50.29	130.28	282.105	282.105	5.8
178	Artsyz	32	UA	79	46.0	29.43	282.705	282.705	5.05
179	Biltine	0	TD	22	14.53	20.93	295.805	295.805	4.1
180	Cabo San Lucas	5	MX	21	22.89	-109.91	303.15	302.24	3.6
181	Pleven	12	BG	75	43.41	24.62	280.305	280.305	5.7
182	Dauphin	75	CA	62	51.15	-100.04	266.15	266.15	12.3
183	Bilma	0	NE	31	18.69	12.92	291.505	291.505	2.05
184	Aizkraukle	92	LV	98	56.6	25.25	277.905	277.905	5.55
185	Granard	92	IE	82	53.78	-7.49	276.605	276.605	7.15
186	Pogaceaua	92	RO	80	46.68	24.3	280.15	278.48	6.7
187	Lubango	32	AO	97	-14.92	13.49	291.63	291.63	1.05
188	Saldanha	92	PT	58	41.42	-6.55	285.105	285.105	4.35
189	Butaritari	76	KI	96	3.07	172.79	302.005	302.005	6.6
190	Den Helder	90	NL	86	52.96	4.76	278.15	277.5	1.5
191	Boralday	90	KZ	92	43.36	76.86	272.15	272.15	3.0
192	Tongliao	8	CN	39	43.61	122.27	289.08	289.08	5.0
193	Huty	92	UA	86	50.13	35.35	276.505	276.505	8.5
194	Grajewo	92	PL	97	53.65	22.46	280.405	280.405	6.8
195	Batticaloa	0	LK	100	7.71	81.69	298.73	298.73	1.45
196	Juegang	20	CN	89	32.31	121.18	287.23	287.23	3.65
197	Beauchamps	75	FR	93	48.83	-1.36	281.15	281.15	6.2
198	Cayenne	80	GF	94	4.94	-52.33	299.15	299.15	3.1
199	Lokeren	0	BE	86	51.1	3.99	279.15	277.36	1.0
200	Chapais	90	CA	62	49.78	-74.86	266.15	266.15	7.2
201	Bam	0	IR	43	29.11	58.36	285.855	285.855	1.15
202	Timbuktu	36	ML	27	16.77	-3.01	301.23	301.23	1.2
203	Carnarvon	32	ZA	64	-30.97	22.13	288.805	288.805	1.3
204	Paamiut	0	GL	85	61.99	-49.67	274.48	274.48	0.85
205	Bambari	0	CF	82	5.77	20.68	297.355	297.355	1.2
206	Garnic	0	RO	81	44.79	21.79	281.15	281.15	1.5
207	Brookings	1	US	50	44.31	-96.8	273.15	271.42	5.7
208	Hvide Sande	0	DK	91	56.01	8.13	273.15	272.13	3.1
209	Sokoto	0	NG	25	13.06	5.24	300.13	300.13	4.2
210	Alangayam	48	IN	82	12.62	78.75	293.555	293.555	1.25
211	Ojinaga	76	US	9	29.56	-104.41	304.505	304.505	1.3
212	Olovyannaya	0	RU	38	50.94	115.59	264.505	264.505	6.5
213	Phangnga	40	TH	88	8.45	98.53	297.15	296.52	3.6
214	Carbondale	90	US	86	38.82	-95.69	271.15	270.34	5.1
215	Daoukro	32	CI	100	7.06	-3.97	296.055	296.055	1.4
